expiry,0.75,0.8,0.85,0.88,0.9,0.92,0.94,0.96,0.98,1.0,1.02,1.04,1.06,1.08,1.1,1.12,1.15,1.2,1.25
7D,0.386562,0.342726,0.307746,0.289904,0.271719,0.259353,0.252946,0.239155,0.224555,0.217145,0.204091,0.194428,0.187255,0.171838,0.163781,0.15896,0.145705,0.13123,0.110684
14D,0.347542,0.320935,0.284742,0.268683,0.253566,0.246057,0.238336,0.225302,0.221048,0.20968,0.202531,0.193861,0.193802,0.181088,0.171129,0.17022,0.154757,0.144709,0.12525
21D,0.328923,0.301794,0.275559,0.258756,0.248436,0.238875,0.226769,0.220879,0.213877,0.211016,0.201799,0.188714,0.188506,0.18019,0.173395,0.171598,0.164815,0.152239,0.135927
30D,0.315758,0.288822,0.265495,0.247485,0.239837,0.228972,0.221001,0.219707,0.214378,0.203474,0.200397,0.192457,0.183698,0.181242,0.179546,0.169837,0.16758,0.144308,0.145101
45D,0.298896,0.271828,0.250403,0.231995,0.229708,0.22424,0.220772,0.208304,0.201284,0.196368,0.195073,0.188033,0.180431,0.178774,0.172969,0.171246,0.160116,0.152001,0.143657
60D,0.281779,0.263065,0.242073,0.230074,0.222358,0.212185,0.208885,0.203161,0.196135,0.192704,0.189318,0.188931,0.179202,0.175082,0.169933,0.160452,0.160571,0.152467,0.15233
90D,0.268953,0.248902,0.229175,0.215721,0.216399,0.209301,0.203807,0.193391,0.195293,0.18211,0.183553,0.18407,0.170449,0.16785,0.166173,0.160876,0.152833,0.150342,0.140527
120D,0.260268,0.236113,0.226165,0.209849,0.205435,0.203352,0.192021,0.191474,0.190052,0.176894,0.178087,0.174342,0.172141,0.16251,0.15887,0.161182,0.155995,0.149101,0.143502
180D,0.244042,0.228689,0.213161,0.201708,0.204203,0.195063,0.185367,0.186461,0.177355,0.178652,0.175988,0.166469,0.168426,0.163556,0.161736,0.162072,0.1516,0.144035,0.138385
252D,0.235247,0.220628,0.207276,0.199251,0.196033,0.188984,0.188946,0.179666,0.184717,0.17474,0.166796,0.162845,0.164372,0.159288,0.159295,0.155919,0.15057,0.142729,0.135958
365D,0.228961,0.217098,0.201516,0.18983,0.189549,0.185897,0.178037,0.177319,0.173412,0.166387,0.167657,0.165211,0.163892,0.161079,0.151213,0.150105,0.151082,0.146077,0.141798
